W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/snake-surrogate-data/runs/03jdvkk9
[monitor] 226,447/50,000,000 (0.5%) | FPS cur=53 roll=48 | ETA 287.1h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 228,136/50,000,000 (0.5%) | FPS cur=56 roll=48 | ETA 286.8h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 229,768/50,000,000 (0.5%) | FPS cur=54 roll=48 | ETA 286.6h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 231,442/50,000,000 (0.5%) | FPS cur=55 roll=48 | ETA 286.3h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 233,077/50,000,000 (0.5%) | FPS cur=54 roll=48 | ETA 286.1h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 234,692/50,000,000 (0.5%) | FPS cur=53 roll=48 | ETA 285.9h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 236,348/50,000,000 (0.5%) | FPS cur=55 roll=48 | ETA 285.6h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 237,988/50,000,000 (0.5%) | FPS cur=54 roll=48 | ETA 285.4h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 239,648/50,000,000 (0.5%) | FPS cur=55 roll=48 | ETA 285.2h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 241,264/50,000,000 (0.5%) | FPS cur=53 roll=48 | ETA 285.0h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 242,881/50,000,000 (0.5%) | FPS cur=53 roll=49 | ETA 284.8h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 244,521/50,000,000 (0.5%) | FPS cur=54 roll=49 | ETA 284.6h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 246,192/50,000,000 (0.5%) | FPS cur=55 roll=49 | ETA 284.4h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 247,810/50,000,000 (0.5%) | FPS cur=53 roll=49 | ETA 284.2h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 249,427/50,000,000 (0.5%) | FPS cur=53 roll=49 | ETA 284.0h | NaN=0 respawns=0 | disk 0.5GB used, 41.0GB free
[monitor] 251,085/50,000,000 (0.5%) | FPS cur=55 roll=49 | ETA 283.8h | NaN=0 respawns=0 | disk 0.5GB used, 40.9GB free
[monitor] 252,764/50,000,000 (0.5%) | FPS cur=56 roll=49 | ETA 283.6h | NaN=0 respawns=0 | disk 0.5GB used, 40.9GB free
[monitor] 254,466/50,000,000 (0.5%) | FPS cur=56 roll=49 | ETA 283.3h | NaN=0 respawns=0 | disk 0.5GB used, 40.9GB free
[monitor] 256,103/50,000,000 (0.5%) | FPS cur=54 roll=49 | ETA 283.2h | NaN=0 respawns=0 | disk 0.5GB used, 40.9GB free
[monitor] 257,762/50,000,000 (0.5%) | FPS cur=55 roll=49 | ETA 282.9h | NaN=0 respawns=0 | disk 0.5GB used, 40.9GB free
[monitor] 259,314/50,000,000 (0.5%) | FPS cur=51 roll=49 | ETA 282.9h | NaN=0 respawns=0 | disk 0.5GB used, 40.9GB free
[monitor] 260,922/50,000,000 (0.5%) | FPS cur=53 roll=49 | ETA 282.7h | NaN=0 respawns=0 | disk 0.5GB used, 40.9GB free
